case_index,feature,shap_value,abs_shap,feature_value,expected_value
4,f13,-0.01565107252689061,0.01565107252689061,0.0,0.508065863524093
4,f1038,0.013443657289342109,0.013443657289342109,,0.508065863524093
4,f1039,-0.013443657289342078,0.013443657289342078,,0.508065863524093
4,f1036,0.01303489693273537,0.01303489693273537,,0.508065863524093
4,f1037,-0.01303489693273535,0.01303489693273535,,0.508065863524093
4,f2,0.012995166954019496,0.012995166954019496,-0.04204756796560649,0.508065863524093
4,f3,-0.012995166954019479,0.012995166954019479,0.06128381076993062,0.508065863524093
5,f12,0.02271234044982674,0.02271234044982674,0.3245768854840794,0.508065863524093
5,f13,-0.022712340449826725,0.022712340449826725,0.0,0.508065863524093
5,f1037,0.020115325238648615,0.020115325238648615,,0.508065863524093
5,f1036,-0.02011532523864858,0.02011532523864858,,0.508065863524093
5,f2,0.018846200324094002,0.018846200324094002,1.6862052451513472,0.508065863524093
5,f3,-0.01884620032409397,0.01884620032409397,0.06128381076993062,0.508065863524093
5,f14,0.016776578899757807,0.016776578899757807,0.0,0.508065863524093
5,f15,-0.016776578899757772,0.016776578899757772,0.0,0.508065863524093
5,f22,0.013006171481317374,0.013006171481317374,0.0,0.508065863524093
5,f23,-0.013006171481317344,0.013006171481317344,0.0,0.508065863524093
6,f12,0.023039881326039947,0.023039881326039947,2.3802548511264012,0.508065863524093
6,f13,-0.02303988132603993,0.02303988132603993,0.0,0.508065863524093
6,f14,0.020929328849290416,0.020929328849290416,0.0,0.508065863524093
6,f15,-0.020929328849290392,0.020929328849290392,0.0,0.508065863524093
6,f2,0.014925426455503373,0.014925426455503373,-0.37123857998788334,0.508065863524093
6,f3,-0.014925426455503354,0.014925426455503354,0.06128381076993062,0.508065863524093
6,f1036,0.014673667147818042,0.014673667147818042,,0.508065863524093
6,f1037,-0.014673667147818016,0.014673667147818016,,0.508065863524093
6,f22,0.013975877138645572,0.013975877138645572,0.0,0.508065863524093
6,f23,-0.013975877138645548,0.013975877138645548,0.0,0.508065863524093
7,f12,0.026870690151330166,0.026870690151330166,-0.9947918409217555,0.508065863524093
7,f13,-0.026870690151330142,0.026870690151330142,0.0,0.508065863524093
7,f15,0.012514762535839904,0.012514762535839904,0.0,0.508065863524093
7,f14,-0.01251476253583985,0.01251476253583985,0.0,0.508065863524093
